model,eval_set,MAE_log,RMSE_log,R2_log,MAE_price,RMSE_price,R2_price,alpha,scaling,tune_train_rows,tune_dev_rows,n_neighbors,weights,max_depth,min_samples_leaf,n_estimators,hidden_layer_sizes,learning_rate_init
decision_tree,dev_tune,0.09508707449187553,0.1288815602614635,0.9305275608308501,1660.1363823768477,2460.826883081202,0.9194040583023233,,none,25000,6000,,,16.0,10.0,,,
decision_tree,dev_tune,0.09278937922544363,0.12970128279356088,0.9296410224218543,1594.8828806363422,2398.317459202873,0.9234466170994319,,none,25000,6000,,,16.0,1.0,,,
decision_tree,dev_tune,0.09346291892579799,0.13189548235420145,0.9272403137012413,1612.4683701610654,2462.278506660324,0.919308944357179,,none,25000,6000,,,,1.0,,,
decision_tree,dev_tune,0.11161179502957388,0.15076535522876772,0.9049320590748228,1916.2243160013718,2795.7852852468045,0.8959699808403734,,none,25000,6000,,,,50.0,,,
decision_tree,dev_tune,0.11234410866819088,0.1516905944731309,0.9037616244679767,1927.139210514772,2806.462734730334,0.8951738564926013,,none,25000,6000,,,16.0,50.0,,,
decision_tree,dev_tune,0.12946956294790757,0.16983524876660638,0.8793613022758642,2165.84580718814,3043.9389287510967,0.8766830091655957,,none,25000,6000,,,8.0,10.0,,,
decision_tree,dev_tune,0.13024499928972258,0.17107633378373874,0.8775917057116656,2174.213321199999,3050.38132188953,0.8761604643482864,,none,25000,6000,,,8.0,1.0,,,
decision_tree,dev_tune,0.13320181303302298,0.17534502967522694,0.8714068316648318,2231.6828738719496,3138.183192973153,0.8689286920623384,,none,25000,6000,,,8.0,50.0,,,
random_forest,dev_tune,0.07459127070933831,0.10128507068831741,0.9570936226376896,1303.8050647112948,1968.5994402502565,0.9484218496876884,,none,25000,6000,,,,1.0,200.0,,
random_forest,dev_tune,0.07479524768889441,0.10130760343669681,0.9570745298703237,1307.7022885295885,1970.4220176172291,0.9483263008588045,,none,25000,6000,,,,1.0,100.0,,
random_forest,dev_tune,0.07827548151102487,0.10510829934817245,0.9537932954850638,1372.278021061733,2053.6079199577716,0.9438711544180081,,none,25000,6000,,,16.0,1.0,200.0,,
random_forest,dev_tune,0.07852291198238207,0.10536204585583286,0.9535699269663822,1376.065282053024,2057.8127758254614,0.9436410663590278,,none,25000,6000,,,16.0,1.0,100.0,,
random_forest,dev_tune,0.08335789760746648,0.11341674761824742,0.9461996184998791,1469.476840654625,2229.248664987864,0.9338594077605535,,none,25000,6000,,,,10.0,200.0,,
random_forest,dev_tune,0.08337615264265463,0.11345755392946984,0.9461608977624385,1470.7133340399382,2231.607320026911,0.9337193737006726,,none,25000,6000,,,,10.0,100.0,,
random_forest,dev_tune,0.08553424425500059,0.11598231487442745,0.9437380834740636,1506.8672509709813,2272.3939453720564,0.9312744386515251,,none,25000,6000,,,16.0,10.0,200.0,,
random_forest,dev_tune,0.0855716920869934,0.11608126296795654,0.9436420449689114,1508.0281023473674,2274.2373858496726,0.931162888565734,,none,25000,6000,,,16.0,10.0,100.0,,
mlp_neural_network,dev_tune,0.08133173310074224,0.1135373340473101,0.9460851548976431,1437.2191782684104,2395.2114858877153,0.9236447716833068,0.0001,standard,25000,6000,,,,,,"(64, 32)",0.001
mlp_neural_network,dev_tune,0.08026514588034515,0.11355567267149183,0.9460677367692342,1417.09590180817,2207.639499578909,0.9351354572698853,0.001,standard,25000,6000,,,,,,"(128,)",0.001
mlp_neural_network,dev_tune,0.08266761100303205,0.11438640397908004,0.9452757534118226,1458.9797534602149,2461.152188949078,0.9193827483386757,0.001,standard,25000,6000,,,,,,"(64, 32)",0.001
mlp_neural_network,dev_tune,0.08042818422430865,0.11555073072413474,0.9441560191533853,1420.6221948200937,2225.092969077611,0.9341057723766538,0.0001,standard,25000,6000,,,,,,"(128,)",0.001
mlp_neural_network,dev_tune,0.08124324989148815,0.11660086604056433,0.9431363766833807,1419.1388706204184,2217.9435392706055,0.9345285406005082,0.0001,standard,25000,6000,,,,,,"(64,)",0.001
mlp_neural_network,dev_tune,0.08503196808786297,0.11991614338559703,0.9398568344961303,1491.9446065211457,2300.5233290188544,0.9295624353016844,0.001,standard,25000,6000,,,,,,"(64,)",0.001
