feature,coefficient,abs_coefficient
cat__brand_Toyota,0.07438146762188876,0.07438146762188876
cat__model_ Eos,-0.07417075784283926,0.07417075784283926
num__mileage,-0.07356433901544211,0.07356433901544211
cat__brand_Audi,0.07223509448624559,0.07223509448624559
cat__model_ 5 Series,-0.07092538345486446,0.07092538345486446
cat__model_ A7,-0.06841100889564689,0.06841100889564689
cat__model_ A6,-0.06706621268588137,0.06706621268588137
cat__transmission_Manual,-0.06698157451195844,0.06698157451195844
cat__model_ Avensis,-0.06671862950885883,0.06671862950885883
cat__model_ Q5,0.0666766439060972,0.0666766439060972
cat__model_ SL CLASS,-0.06650726133642876,0.06650726133642876
cat__model_ CC,-0.06582485921856317,0.06582485921856317
cat__model_ X3,0.06530151279001896,0.06530151279001896
cat__model_ Q3,-0.06501041982266395,0.06501041982266395
cat__model_ M4,0.06232345517664963,0.06232345517664963
cat__model_ Mokka,0.058751520321407735,0.058751520321407735
cat__model_ Mustang,-0.05854499193792461,0.05854499193792461
cat__model_ 6 Series,-0.05851848685444273,0.05851848685444273
cat__model_ Verso-S,-0.05434490340264783,0.05434490340264783
cat__model_ Getz,-0.05247686822302882,0.05247686822302882
cat__model_ I40,0.051575006415530936,0.051575006415530936
cat__model_ GLB Class,0.04871092170363745,0.04871092170363745
cat__model_ Focus,0.04552482859128748,0.04552482859128748
cat__model_ Corolla,-0.041645452851450965,0.041645452851450965
cat__model_ M6,-0.039766189771742136,0.039766189771742136
cat__model_ Mokka X,0.03940898736573309,0.03940898736573309
cat__model_ E Class,-0.03825067473375323,0.03825067473375323
cat__transmission_Semi-Auto,0.03714474030803831,0.03714474030803831
cat__model_ S4,0.03688166114302116,0.03688166114302116
cat__model_ Antara,-0.03416110007402089,0.03416110007402089
cat__brand_Skoda,-0.03311715361327349,0.03311715361327349
cat__model_ S3,0.030610179610293973,0.030610179610293973
cat__transmission_Automatic,0.029836834142822736,0.029836834142822736
cat__model_ I30,-0.029709395411582445,0.029709395411582445
cat__model_ T-Cross,0.027123274144863402,0.027123274144863402
cat__model_ EcoSport,-0.026799054704593737,0.026799054704593737
cat__model_ Caddy Maxi,-0.026456670929486014,0.026456670929486014
cat__model_ Ioniq,0.025679926524243987,0.025679926524243987
cat__fuelType_Petrol,-0.024291359306676474,0.024291359306676474
cat__model_ Passat,0.023139786173899533,0.023139786173899533
cat__model_ I800,0.021585670460680696,0.021585670460680696
cat__model_ GL Class,-0.020320039832860577,0.020320039832860577
num__mileage_per_year,-0.020280265587657404,0.020280265587657404
cat__model_ Mondeo,0.02026837779473013,0.02026837779473013
cat__model_ Golf,0.018440474423846026,0.018440474423846026
cat__model_ A8,-0.01732660272804787,0.01732660272804787
cat__model_ Grand C-MAX,0.016599749089538318,0.016599749089538318
cat__model_ Beetle,-0.016194625507293652,0.016194625507293652
cat__brand_Mercedes,0.014978455383148247,0.014978455383148247
num__mpg,-0.012830658916680344,0.012830658916680344
cat__fuelType_Electric,0.009573961723427778,0.009573961723427778
cat__model_ Scirocco,-0.008149284234324946,0.008149284234324946
cat__brand_Ford,-0.007817565765188154,0.007817565765188154
cat__model_ CLS Class,-0.007396447531687555,0.007396447531687555
cat__model_ Astra,-0.006840692113804475,0.006840692113804475
cat__model_ Veloster,0.006584717425901831,0.006584717425901831
cat__model_ Octavia,-0.006205758094618461,0.006205758094618461
cat__model_ M2,-0.006096589585072337,0.006096589585072337
cat__brand_BMW,0.0033423114453246107,0.0033423114453246107
cat__model_ Scala,-0.0020732391416305295,0.0020732391416305295
cat__model_ GTC,-0.0016213986702358913,0.0016213986702358913
num__tax,-0.001516665986350138,0.001516665986350138
cat__model_ Crossland X,0.00019106522586506328,0.00019106522586506328
