feature,importance
cat__model_ Golf SV,5.8473636138657444e-05
cat__model_ Verso,5.8192477129381944e-05
cat__model_ X2,5.71699312217119e-05
cat__model_ Prius,5.182359617463598e-05
cat__model_ Yeti,4.441935977650299e-05
cat__model_ GTC,4.272949294821694e-05
cat__model_ IX35,4.2256533524474366e-05
cat__model_ Santa Fe,4.132261911828936e-05
cat__model_ RAV4,4.0726579786725184e-05
cat__model_ CLS Class,4.041216112050823e-05
cat__model_ Avensis,4.013106614104525e-05
cat__model_ Beetle,4.007527451657342e-05
cat__model_ CC,3.8815290024199366e-05
cat__model_ Caddy Life,3.85481596160636e-05
cat__model_ A7,3.7313744069514797e-05
cat__model_ GL Class,3.730805422503038e-05
cat__model_ Agila,3.1635126786852736e-05
cat__model_ Grand Tourneo Connect,3.09462686517092e-05
cat__model_ SL CLASS,2.99129874180529e-05
cat__model_ SLK,2.9857904462761514e-05
cat__model_ A8,2.7780731446908506e-05
cat__model_ Tiguan Allspace,2.761281002785694e-05
cat__model_ Ioniq,2.5981447941310808e-05
cat__model_ CLA Class,2.5062860288569764e-05
cat__model_ Combo Life,2.3627128900031903e-05
cat__model_ Fox,2.2304178985086418e-05
cat__model_ I40,2.105821687558676e-05
cat__model_ Tourneo Custom,2.010023164103894e-05
cat__model_ Touareg,1.7913041394175955e-05
cat__model_ Mustang,1.4890343968247388e-05
cat__model_ Roomster,1.4628229825415324e-05
cat__model_ Tourneo Connect,1.3129041976005035e-05
cat__model_ RS3,1.1465816598354306e-05
cat__model_ GT86,1.1276570954411794e-05
cat__model_ Shuttle,1.0970041292945093e-05
cat__model_ Jetta,9.995335071017165e-06
cat__model_ M4,8.420591981379024e-06
cat__model_ PROACE VERSO,6.711463535607478e-06
cat__model_ S3,5.513144150182078e-06
cat__model_ Accent,5.187675970725455e-06
cat__model_ Fusion,4.771866867093197e-06
cat__model_ Supra,4.244210240160451e-06
cat__model_ Zafira Tourer,3.873360964155446e-06
cat__model_ 8 Series,3.5406383670646405e-06
cat__model_ Q8,3.488471829400278e-06
cat__model_ Urban Cruiser,3.2610753600098963e-06
cat__model_ Cascada,2.9936522215865157e-06
cat__model_ GLB Class,2.981891045389315e-06
cat__model_ M3,2.5853696605372454e-06
cat__model_ S4,2.4394253663941293e-06
cat__model_ GLS Class,2.26287750683992e-06
cat__model_ i3,2.1422706801512146e-06
cat__model_ M2,2.076427939519336e-06
cat__model_ Getz,1.800354629652524e-06
cat__model_ Eos,1.4857335640119449e-06
cat__model_ RS4,1.0308001454488315e-06
cat__model_ Camry,9.702051298675376e-07
cat__model_ Verso-S,9.138992448164746e-07
cat__model_ Kadjar,7.971698407599207e-07
cat__model_ RS5,7.389793839388223e-07
cat__model_ Land Cruiser,5.809173144239461e-07
cat__model_ Caddy Maxi,5.75709019149275e-07
cat__model_ SQ5,5.55866592963657e-07
cat__model_ RS6,4.2777463987051357e-07
cat__model_ Tigra,3.4794457732202505e-07
cat__model_ SQ7,2.510105683186234e-07
cat__model_ Veloster,2.425204203838423e-07
cat__model_ Antara,2.093659492734734e-07
cat__model_ M6,1.7742644892267217e-07
cat__fuelType_Electric,1.1044981169973388e-07
cat__model_200,4.270480284170537e-08
