car_age,mileage,mileage_per_year,tax,mpg,engineSize,transmission_enc,is_luxury,brand_mean_price,model_mean_price,fuel_Diesel,fuel_Electric,fuel_Hybrid,fuel_Petrol,price,log_price,brand,model,transmission,fuelType,year
5,6243.0,1040.5,145.0,46.3,1.2,0,0,12722.948264984227,8836.843942505133,False,False,False,True,9699.0,9.179881164491475,Hyundai, I20,Manual,Petrol,2019
7,31546.0,3943.25,145.0,74.3,1.6,0,0,12722.948264984227,11707.42803030303,True,False,False,False,10099.0,9.22029070282935,Hyundai, I30,Manual,Diesel,2017
8,51849.0,5761.0,145.0,42.2,2.2,2,0,12722.948264984227,24226.38429752066,True,False,False,False,15899.0,9.674074388208323,Hyundai, Santa Fe,Automatic,Diesel,2016
8,52265.0,5807.222222222223,145.0,47.1,2.2,0,0,12722.948264984227,24226.38429752066,True,False,False,False,15299.0,9.635608107380527,Hyundai, Santa Fe,Manual,Diesel,2016
7,12515.0,1564.375,145.0,52.3,1.0,0,0,12722.948264984227,15640.906542056075,False,False,False,True,14025.0,9.548668029096856,Hyundai, Kona,Manual,Petrol,2017
7,8418.0,1052.25,145.0,44.8,1.6,0,0,12722.948264984227,15758.41973375098,False,False,False,True,14099.0,9.55393007636626,Hyundai, Tucson,Manual,Petrol,2017
10,42579.0,3870.818181818182,125.0,47.1,1.4,0,0,12722.948264984227,11707.42803030303,False,False,False,True,6504.0,8.780326390946605,Hyundai, I30,Manual,Petrol,2014
12,22089.0,1699.1538461538462,125.0,61.4,1.2,0,0,12722.948264984227,7635.6417769376185,False,False,False,True,3995.0,8.293049139768444,Hyundai, I10,Manual,Petrol,2012
12,65000.0,5000.0,150.0,67.3,1.6,0,0,12722.948264984227,11707.42803030303,True,False,False,False,3495.0,8.159374736775426,Hyundai, I30,Manual,Diesel,2012
8,26000.0,2888.8888888888887,145.0,61.7,1.7,0,0,12722.948264984227,15758.41973375098,True,False,False,False,11995.0,9.392328539868899,Hyundai, Tucson,Manual,Diesel,2016
11,83898.0,6991.5,150.0,65.7,1.7,0,0,12722.948264984227,10664.733333333334,True,False,False,False,5995.0,8.698847859222488,Hyundai, I40,Manual,Diesel,2013
7,32000.0,4000.0,145.0,61.7,1.7,0,0,12722.948264984227,15758.41973375098,True,False,False,False,13950.0,9.543306469268108,Hyundai, Tucson,Manual,Diesel,2017
7,9000.0,1125.0,145.0,58.9,1.2,0,0,12722.948264984227,8836.843942505133,False,False,False,True,8695.0,9.070618428801046,Hyundai, I20,Manual,Petrol,2017
10,44016.0,4001.4545454545455,150.0,53.3,1.7,0,0,12722.948264984227,8336.25641025641,True,False,False,False,8499.0,9.047821442478408,Hyundai, IX35,Manual,Diesel,2014
10,6790.0,617.2727272727273,125.0,45.6,1.2,2,0,12722.948264984227,7635.6417769376185,False,False,False,True,7999.0,8.987196820661973,Hyundai, I10,Automatic,Petrol,2014
